log_message,severity
2023-10-31T00:22:56.097799+01:00 Starting ORACLE instance (normal) (OS id: 2359880),0
2023-10-31T00:22:56.123085+01:00 **********************************************************************,0
2023-10-31T00:22:56.124890+01:00 Dump of system resources acquired for SHARED GLOBAL AREA (SGA),0
"2023-10-31T00:22:56.127019+01:00 Available system pagesizes: 4K, 64K, 16M, 16G",0
2023-10-31T00:22:56.129951+01:00 Supported system pagesize(s):,0
2023-10-31T00:22:56.131802+01:00 PAGESIZE  AVAILABLE_PAGES  EXPECTED_PAGES  ALLOCATED_PAGES  ERROR(s),0
2023-10-31T00:22:56.133304+01:00 4K       Configured         6291472         6291472        NONE,0
2023-10-31T00:22:56.134781+01:00 Reason for not supporting certain system pagesizes:,0
2023-10-31T00:22:56.136356+01:00 64K - Default pagesizes only,0
2023-10-31T00:22:56.138132+01:00 16M - Default pagesizes only,0
2023-10-31T00:22:56.139864+01:00 16G - Default pagesizes only,0
2023-10-31T00:22:56.141338+01:00 **********************************************************************,0
2023-10-31T00:22:59.193316+01:00 sskgpgetexecname failed to get name LICENSE_MAX_SESSION = 0 LICENSE_SESSIONS_WARNING = 0 Initial number of CPU is 32 Number of processor cores in the system is 4 Capability Type : Network capabilities requested : 7 detected : 0 Simulated : 0 Capability Type : Runtime Environment capabilities requested : 400000FF detected : 40000000 Simulated : 0 Capability Type : Engineered Systems capabilities requested : 7 detected : 0 Simulated : 0 Capability Type : Database Test capabilities requested : 3 detected : 0 Simulated : 0 Autotune of undo retention is turned on. IMODE=BR ILAT =1322 LICENSE_MAX_USERS = 0 SYS auditing is enabled NOTE: remote asm mode is local (mode 0x1; from cluster type),0
2023-10-31T00:23:00.191160+01:00 NOTE: Using default ASM root directory ASM,0
